,words,cluster_value,closeness_score,sentiment_coeff,sentiment
2246,business_russia,-1,16.64597562709077,-16.64597562709077,negative
2247,degree,1,22.837944340629303,22.837944340629303,positive
2248,aslund,1,24.673531541320603,24.673531541320603,positive
2249,ability,1,23.283449435311518,23.283449435311518,positive
2250,cant,-1,20.216033336067973,-20.216033336067973,negative
2251,pandemic,1,18.97182753215142,18.97182753215142,positive
2252,proudly,1,16.034704912103617,16.034704912103617,positive
2253,tak,1,24.75245878088614,24.75245878088614,positive
2254,punch,1,16.59626595446376,16.59626595446376,positive
2255,customer,1,18.662093453293327,18.662093453293327,positive
2256,horrify,1,17.241876889360142,17.241876889360142,positive
2257,sake,-1,13.08855415622599,-13.08855415622599,negative
2258,europeanunion,-1,9.424942109663055,-9.424942109663055,negative
2259,japan,1,18.928766686593853,18.928766686593853,positive
2260,confront,-1,26.33488076891733,-26.33488076891733,negative
2261,civil,-1,25.50138183694464,-25.50138183694464,negative
2262,li,-1,18.41802775494187,-18.41802775494187,negative
2263,illegal_invasion,1,17.201274021394692,17.201274021394692,positive
2264,unarm_ukrainian,1,26.713673571345694,26.713673571345694,positive
2265,power_plant,-1,17.516123511048693,-17.516123511048693,negative
2266,tell_truth,1,9.736716028450632,9.736716028450632,positive
2267,whose,-1,22.735748726244235,-22.735748726244235,negative
2268,looter,-1,27.837045268350355,-27.837045268350355,negative
2269,ukrainian_canadian,-1,19.20510902380644,-19.20510902380644,negative
2270,abstain,-1,27.997082748960395,-27.997082748960395,negative
2271,negotiate,-1,14.184472059575532,-14.184472059575532,negative
2272,olga,-1,26.11944036844999,-26.11944036844999,negative
2273,coffee,1,18.24378873928991,18.24378873928991,positive
2274,everything_go,0,14.1376748527773,0.0,neutral
2275,pocket,-1,9.1456459329458,-9.1456459329458,negative
2276,luck,1,14.997228427096688,14.997228427096688,positive
2277,intelligence,1,27.15557109193449,27.15557109193449,positive
2278,fatum,-1,26.66283168519105,-26.66283168519105,negative
2279,god_speed,-1,19.35696584256999,-19.35696584256999,negative
2280,otherwise,-1,18.15792083696301,-18.15792083696301,negative
2281,borodyanka,-1,13.050833850762274,-13.050833850762274,negative
2282,mykolaiv,1,27.08482286607304,27.08482286607304,positive
2283,feb,1,27.080340082956088,27.080340082956088,positive
2284,plus,1,18.148241573359453,18.148241573359453,positive
2285,peaceforukraine,-1,24.3958824397265,-24.3958824397265,negative
2286,lend,-1,22.36209488763281,-22.36209488763281,negative
2287,react,1,21.065080334200392,21.065080334200392,positive
2288,abstention,-1,18.43171262183944,-18.43171262183944,negative
2289,zelenskyyua,0,12.795610352153876,0.0,neutral
2290,first_thing,0,9.52736163674096,0.0,neutral
2291,innocent_people,-1,19.44726034775996,-19.44726034775996,negative
2292,join_twitter,1,20.00409609534856,20.00409609534856,positive
2293,stock,-1,16.805211348904685,-16.805211348904685,negative
2294,please_retweet,-1,15.780146710941407,-15.780146710941407,negative
2295,weareallukrainians_standwithukraine,0,21.482889706760457,0.0,neutral
2296,till,-1,23.42838409682072,-23.42838409682072,negative
2297,surreal,-1,23.694977673426123,-23.694977673426123,negative
2298,veteran,-1,27.175332392422707,-27.175332392422707,negative
2299,century,-1,28.819661403912797,-28.819661403912797,negative
2300,ball_steel,0,19.96299985786457,0.0,neutral
2301,state_union,1,23.619652390652277,23.619652390652277,positive
2302,documentary,1,18.05465054102371,18.05465054102371,positive
2303,senator,1,28.03768941317848,28.03768941317848,positive
2304,liberal,1,26.08239876949481,26.08239876949481,positive
2305,bread,1,18.174980475289956,18.174980475289956,positive
2306,unable,-1,23.009493169854707,-23.009493169854707,negative
2307,subway,-1,17.187986802052983,-17.187986802052983,negative
2308,foreigner,-1,17.89103863163049,-17.89103863163049,negative
2309,vibe,1,22.2906411240972,22.2906411240972,positive
2310,advocate,-1,20.169534675308068,-20.169534675308068,negative
2311,ada,-1,26.049542946835665,-26.049542946835665,negative
2312,felt,-1,19.109783279210657,-19.109783279210657,negative
2313,poll,1,25.75334704595787,25.75334704595787,positive
2314,helicopter,1,20.608004817139587,20.608004817139587,positive
2315,asap,-1,29.414482471364988,-29.414482471364988,negative
2316,camera,1,18.26882513393469,18.26882513393469,positive
2317,profile,-1,27.91915133523317,-27.91915133523317,negative
2318,success,-1,19.5383510954489,-19.5383510954489,negative
2319,potential,-1,20.51309027449489,-20.51309027449489,negative
2320,constantly,-1,20.227941528486728,-20.227941528486728,negative
2321,unprecedented,-1,28.013723880956817,-28.013723880956817,negative
2322,urgent,1,26.49794395891668,26.49794395891668,positive
2323,rf,1,27.856036086614168,27.856036086614168,positive
2324,bravely,-1,27.04340714361758,-27.04340714361758,negative
2325,last_time,-1,23.974859454774947,-23.974859454774947,negative
2326,ukraineinvasion_istandwithukriane,0,25.329343259373235,0.0,neutral
2327,devil,1,21.775686099545613,21.775686099545613,positive
2328,frustrate,-1,28.341558817091293,-28.341558817091293,negative
2329,cou,-1,20.277231883666392,-20.277231883666392,negative
2330,ah,1,23.52586858779453,23.52586858779453,positive
2331,glad_see,1,18.08399573908393,18.08399573908393,positive
2332,badly,-1,21.20051565993916,-21.20051565993916,negative
2333,halt,1,15.446462287554327,15.446462287554327,positive
2334,smoke,1,23.71589242625011,23.71589242625011,positive
2335,democratic,1,23.01228482092703,23.01228482092703,positive
2336,contribute,-1,18.56684311048581,-18.56684311048581,negative
2337,turkish,1,17.65779910704492,17.65779910704492,positive
2338,oorah,-1,24.62759901685996,-24.62759901685996,negative
2339,unarm,-1,23.37457652789028,-23.37457652789028,negative
2340,cdnpoli,-1,29.91907802715393,-29.91907802715393,negative
2341,overcome,-1,26.591342531167285,-26.591342531167285,negative
2342,onto,-1,18.881213497816017,-18.881213497816017,negative
2343,estimate,1,15.31950123042851,15.31950123042851,positive
2344,key,-1,28.7922648580361,-28.7922648580361,negative
2345,til,-1,26.121803846101777,-26.121803846101777,negative
2346,ancient,1,14.678971823831317,14.678971823831317,positive
2347,mask,1,20.3632834610344,20.3632834610344,positive
2348,donbas,-1,24.70160317469449,-24.70160317469449,negative
2349,require,-1,21.724877578903445,-21.724877578903445,negative
2350,edit,1,18.50327707904397,18.50327707904397,positive
2351,take_arm,1,23.10137030192185,23.10137030192185,positive
2352,nobody_want,-1,27.017481933782825,-27.017481933782825,negative
2353,collection,1,19.425709603092635,19.425709603092635,positive
2354,pe,-1,17.799097567815394,-17.799097567815394,negative
2355,never_win,1,11.677047319975705,11.677047319975705,positive
2356,demonstration,-1,20.404686901584,-20.404686901584,negative
2357,successful,-1,16.746557791382997,-16.746557791382997,negative
2358,heyputin,-1,18.17065502207288,-18.17065502207288,negative
2359,holocaust,-1,10.373853188230376,-10.373853188230376,negative
2360,putin_puppet,1,22.834361590150426,22.834361590150426,positive
2361,entry,1,25.714309461490576,25.714309461490576,positive
2362,besides,1,19.67758673155349,19.67758673155349,positive
2363,table,1,25.330852185166503,25.330852185166503,positive
2364,kosovo,1,25.91632418646534,25.91632418646534,positive
2365,mobilize,-1,28.98175149078677,-28.98175149078677,negative
2366,false,-1,21.229343592623987,-21.229343592623987,negative
2367,stall,-1,23.27298562498217,-23.27298562498217,negative
2368,humor,-1,24.01358897345155,-24.01358897345155,negative
2369,helpful,1,24.544169617922,24.544169617922,positive
2370,great_idea,1,16.96297530525988,16.96297530525988,positive
2371,ever_see,0,10.094724793037248,0.0,neutral
2372,passion,1,27.505007193669982,27.505007193669982,positive
2373,sarajevo,-1,17.808988773088426,-17.808988773088426,negative
2374,irish,1,25.1714174729583,25.1714174729583,positive
2375,bombardment,-1,24.99559562853949,-24.99559562853949,negative
2376,outcome,-1,24.86335261502612,-24.86335261502612,negative
2377,mayor,1,10.133644043599382,10.133644043599382,positive
2378,pledge,1,9.84310144630241,9.84310144630241,positive
2379,careful,-1,28.57061250662685,-28.57061250662685,negative
2380,fighter_pilot,1,7.459837847199393,7.459837847199393,positive
2381,pack,1,27.821793737366757,27.821793737366757,positive
2382,savage,1,13.365292525470307,13.365292525470307,positive
2383,text,-1,16.568131442212174,-16.568131442212174,negative
2384,resilience,-1,12.058161845994402,-12.058161845994402,negative
2385,ho,-1,28.42962854215004,-28.42962854215004,negative
2386,russian_ship,1,17.793721603990182,17.793721603990182,positive
2387,flower,1,15.644216160127543,15.644216160127543,positive
2388,heart_wrench,-1,17.384227037691552,-17.384227037691552,negative
2389,ukrainian_music,1,27.446957653231717,27.446957653231717,positive
2390,zelinsky,1,22.442923910736877,22.442923910736877,positive
2391,"""_liberation",-1,13.764430340607683,-13.764430340607683,negative
2392,excite,1,27.155725106969197,27.155725106969197,positive
2393,definition,-1,25.617342955551763,-25.617342955551763,negative
2394,sum,-1,27.2963473282177,-27.2963473282177,negative
2395,ruin,-1,27.306651357895905,-27.306651357895905,negative
2396,court,1,17.60333825874718,17.60333825874718,positive
2397,switzerland,1,19.487056779818417,19.487056779818417,positive
2398,agency,-1,21.3203702687254,-21.3203702687254,negative
2399,eu_member,1,15.410877519090477,15.410877519090477,positive
2400,mussolini,-1,22.48861708686846,-22.48861708686846,negative
2401,neutral,-1,18.590925293422615,-18.590925293422615,negative
2402,vigil,-1,18.56861500174568,-18.56861500174568,negative
2403,blood_hand,0,15.05468176074689,0.0,neutral
2404,powerful_speech,1,19.97808592589426,19.97808592589426,positive
2405,award,-1,28.359815287447827,-28.359815287447827,negative
2406,slavaukrayini,1,15.98919958206574,15.98919958206574,positive
2407,congress,-1,27.2024064742056,-27.2024064742056,negative
2408,peacekeeping,1,15.833512515611796,15.833512515611796,positive
2409,shmyhal,-1,18.06685722377229,-18.06685722377229,negative
2410,putinwarcriminal_russiaukraine,-1,13.457446463544343,-13.457446463544343,negative
2411,take_street,-1,21.94845045978669,-21.94845045978669,negative
2412,fearless,-1,16.685172898425314,-16.685172898425314,negative
2413,arrival,-1,15.429579165653674,-15.429579165653674,negative
2414,parade,-1,24.764036106930355,-24.764036106930355,negative
2415,baba,-1,26.99357042249377,-26.99357042249377,negative
2416,nfts,-1,20.83204317837589,-20.83204317837589,negative
2417,never_ever,-1,24.779496824322443,-24.779496824322443,negative
2418,send_troop,1,17.372212057503692,17.372212057503692,positive
2419,ki,1,27.883565430591567,27.883565430591567,positive
2420,random,-1,24.55133163205571,-24.55133163205571,negative
2421,attack_civilian,1,21.066649664677534,21.066649664677534,positive
2422,speak_please,1,10.981921038152516,10.981921038152516,positive
2423,change_name,1,22.90233922515788,22.90233922515788,positive
2424,spy,1,24.600891006288855,24.600891006288855,positive
2425,fu,-1,25.27617999429505,-25.27617999429505,negative
2426,democracynotautocracy,-1,15.408693668416229,-15.408693668416229,negative
2427,yr,1,17.63954173170716,17.63954173170716,positive
2428,bravest_people,0,10.887386221336326,0.0,neutral
2429,downwithputin,-1,14.976042137733668,-14.976042137733668,negative
2430,peo,-1,26.69065658554468,-26.69065658554468,negative
2431,symbol,-1,17.18923429530736,-17.18923429530736,negative
2432,relative,-1,19.695634563646863,-19.695634563646863,negative
2433,beauty,-1,22.63988575479719,-22.63988575479719,negative
2434,crush,-1,26.04120832305512,-26.04120832305512,negative
2435,read_upda,0,1.8608136978691832,0.0,neutral
2436,westandwithukraine_theresistancerises,0,10.835921717212315,0.0,neutral
2437,tax,1,26.946035293998605,26.946035293998605,positive
2438,scary,0,9.489146593308805,0.0,neutral
2439,fault,1,15.48274547571704,15.48274547571704,positive
2440,solidaritywithukraine,-1,27.08839865939131,-27.08839865939131,negative
2441,drag,1,16.094506625267844,16.094506625267844,positive
2442,boycottrussia_supportukraine,-1,9.256839567356124,-9.256839567356124,negative
2443,slavaukraina_warinukraine,-1,19.805525669004968,-19.805525669004968,negative
2444,church,1,23.18872171338053,23.18872171338053,positive
2445,hilarious,-1,27.67381203689465,-27.67381203689465,negative
2446,bayraktartb,-1,20.117401648196743,-20.117401648196743,negative
2447,info_info,0,11.18165182641036,0.0,neutral
2448,cook,-1,16.477490317129124,-16.477490317129124,negative
2449,greater,-1,25.464134515907123,-25.464134515907123,negative
2450,sticker,1,24.177891046027327,24.177891046027327,positive
2451,heroesofukraine,-1,29.564906083392252,-29.564906083392252,negative
2452,chernobyl,1,26.90424912306954,26.90424912306954,positive
2453,seattle,-1,29.093322222840754,-29.093322222840754,negative
2454,mak,0,14.74432134306348,0.0,neutral
2455,gotta,1,15.108934375814314,15.108934375814314,positive
2456,port,-1,26.46545693836569,-26.46545693836569,negative
2457,stopputinnow_via,-1,21.81920870832348,-21.81920870832348,negative
2458,ufc,1,8.183968666279748,8.183968666279748,positive
2459,tie,-1,21.10064191042599,-21.10064191042599,negative
2460,worthless,-1,16.166839373476023,-16.166839373476023,negative
2461,patriotism,-1,25.20803035452355,-25.20803035452355,negative
2462,bright,-1,22.163016087370654,-22.163016087370654,negative
2463,sunflower_grow,1,19.42096751290361,19.42096751290361,positive
2464,great_thread,1,20.623642856954675,20.623642856954675,positive
2465,rich,1,23.45337033060305,23.45337033060305,positive
2466,dancer,-1,12.229142128223843,-12.229142128223843,negative
2467,russian_armor,-1,23.74037303287647,-23.74037303287647,negative
2468,advice,-1,26.457794202509422,-26.457794202509422,negative
2469,winner,-1,24.5105730860758,-24.5105730860758,negative
2470,lie_dead,1,17.046357028771006,17.046357028771006,positive
2471,city_hall,-1,24.819421085279828,-24.819421085279828,negative
2472,enforce_fly,-1,24.52503126418929,-24.52503126418929,negative
2473,west_biden,-1,14.889604954727464,-14.889604954727464,negative
2474,russianinvaders,-1,19.52578174116959,-19.52578174116959,negative
2475,brook_tha,0,10.71471194725959,0.0,neutral
2476,fell,1,23.209263217383747,23.209263217383747,positive
2477,cooperation,1,18.618995107171965,18.618995107171965,positive
2478,throughout,1,28.17069229563898,28.17069229563898,positive
2479,red_cross,1,22.16768816914041,22.16768816914041,positive
2480,snow,1,16.57333717240987,16.57333717240987,positive
2481,lucky,-1,17.868704307642652,-17.868704307642652,negative
2482,command,-1,22.14586475307029,-22.14586475307029,negative
2483,bold,1,14.521065726155802,14.521065726155802,positive
2484,far_right,1,26.047307613183865,26.047307613183865,positive
2485,dust,1,26.77097606263894,26.77097606263894,positive
2486,mo,-1,27.919360689970176,-27.919360689970176,negative
2487,loud,1,23.75073497410046,23.75073497410046,positive
2488,isolation,1,20.770119426991965,20.770119426991965,positive
2489,istandwithputin,1,15.820758023810749,15.820758023810749,positive
2490,never_die,-1,14.456573428979588,-14.456573428979588,negative
2491,implement,-1,10.09708202652131,-10.09708202652131,negative
2492,file,-1,26.113426581776903,-26.113426581776903,negative
2493,news_ukr,0,4.375610084931511,0.0,neutral
2494,accuse,1,16.151526360705763,16.151526360705763,positive
2495,slowly,1,15.143988406058291,15.143988406058291,positive
2496,popular,1,20.38386716088878,20.38386716088878,positive
2497,child_die,-1,18.824569107172792,-18.824569107172792,negative
2498,humble,-1,27.226889658738948,-27.226889658738948,negative
2499,stateoftheunion_sotu,-1,22.042157821510827,-22.042157821510827,negative
2500,mute,1,11.239862454980292,11.239862454980292,positive
2501,boom,1,19.054746654376604,19.054746654376604,positive
2502,psychopath,-1,28.97601391950062,-28.97601391950062,negative
2503,winnipeg,1,22.7948182398175,22.7948182398175,positive
2504,hole,1,17.215921667792543,17.215921667792543,positive
2505,belgrade,-1,18.77433894997321,-18.77433894997321,negative
2506,register,-1,26.52126040467953,-26.52126040467953,negative
2507,resistance_loud,1,5.395559995203246,5.395559995203246,positive
2508,sometimes_act,1,5.471913319154361,5.471913319154361,positive
2509,monday,1,21.507289524788483,21.507289524788483,positive
2510,di,-1,19.15993866350841,-19.15993866350841,negative
2511,moscow_underground,1,6.790270891849244,6.790270891849244,positive
2512,fuckin,-1,27.772084421615443,-27.772084421615443,negative
2513,news_tr,0,5.778357563859386,0.0,neutral
2514,anonymous_oprussia,-1,19.672748049185,-19.672748049185,negative
2515,thermobaric_bomb,-1,25.320856558746605,-25.320856558746605,negative
2516,timeline,1,12.2637670751144,12.2637670751144,positive
2517,con,1,13.674743442079448,13.674743442079448,positive
2518,thermobaric_weapon,1,23.98548076897108,23.98548076897108,positive
2519,sky_news,-1,9.4780624315096,-9.4780624315096,negative
2520,huzzah,0,9.616918539395453,0.0,neutral
2521,racism,-1,20.456491749668785,-20.456491749668785,negative
2522,bore,1,15.488088926147244,15.488088926147244,positive
2523,mobile,1,14.78079033999549,14.78079033999549,positive
2524,anyone_want,-1,11.141553086090276,-11.141553086090276,negative
2525,closetheskyukraine,-1,19.29342173224548,-19.29342173224548,negative
2526,superhero,-1,10.79013263571064,-10.79013263571064,negative
2527,pay_price,-1,15.278254721230669,-15.278254721230669,negative
2528,white_house,-1,24.99462739325851,-24.99462739325851,negative
2529,museum,-1,21.93998463248971,-21.93998463248971,negative
